cluster_id,label,cluster_size,split
neg_0,0,1,train
neg_1,0,1,train
neg_10,0,1,test
neg_100,0,1,train
neg_1000,0,1,train
neg_1001,0,1,train
neg_1002,0,1,train
neg_1003,0,2,val
neg_1004,0,1,val
neg_1005,0,2,train
neg_1006,0,2,train
neg_1007,0,1,train
neg_1008,0,1,train
neg_1009,0,1,test
neg_101,0,1,train
neg_1010,0,1,train
neg_1011,0,1,train
neg_1012,0,1,train
neg_1013,0,1,train
neg_1014,0,1,test
neg_1015,0,1,train
neg_1016,0,1,test
neg_1017,0,1,train
neg_1018,0,1,train
neg_1019,0,1,train
neg_102,0,1,train
neg_1020,0,1,train
neg_1021,0,1,train
neg_1022,0,1,train
neg_1023,0,1,train
neg_1024,0,1,train
neg_1025,0,1,train
neg_1026,0,1,train
neg_1027,0,1,train
neg_1028,0,1,train
neg_1029,0,1,train
neg_103,0,1,train
neg_1030,0,1,train
neg_1031,0,1,val
neg_1032,0,1,train
neg_1033,0,1,train
neg_1034,0,1,train
neg_1035,0,1,train
neg_1036,0,1,train
neg_1037,0,1,train
neg_1038,0,1,train
neg_1039,0,1,train
neg_104,0,1,train
neg_1040,0,1,train
neg_1041,0,1,train
neg_1042,0,1,val
neg_1043,0,1,train
neg_1044,0,1,train
neg_1045,0,1,train
neg_1046,0,1,train
neg_1047,0,1,train
neg_1048,0,1,train
neg_1049,0,1,train
neg_105,0,1,train
neg_1050,0,1,train
neg_1051,0,1,train
neg_1052,0,1,test
neg_1053,0,1,test
neg_1054,0,1,train
neg_1055,0,1,train
neg_1056,0,1,train
neg_1057,0,1,train
neg_1058,0,1,test
neg_1059,0,1,train
neg_106,0,1,train
neg_1060,0,1,test
neg_1061,0,1,train
neg_1062,0,1,train
neg_1063,0,1,train
neg_1064,0,1,test
neg_1065,0,1,train
neg_1066,0,1,train
neg_1067,0,1,train
neg_1068,0,1,train
neg_1069,0,1,test
neg_107,0,1,train
neg_1070,0,1,test
neg_1071,0,1,train
neg_1072,0,1,train
neg_1073,0,1,train
neg_1074,0,1,val
neg_1075,0,1,val
neg_1076,0,1,train
neg_1077,0,1,train
neg_1078,0,1,train
neg_1079,0,1,train
neg_108,0,1,train
neg_1080,0,1,train
neg_1081,0,1,train
neg_1082,0,1,train
neg_1083,0,1,train
neg_1084,0,1,train
neg_1085,0,1,train
neg_1086,0,1,train
neg_1087,0,1,train
neg_1088,0,1,train
neg_1089,0,1,train
neg_109,0,1,train
neg_1090,0,1,val
neg_1091,0,1,train
neg_1092,0,1,val
neg_1093,0,1,train
neg_1094,0,1,train
neg_1095,0,1,val
neg_1096,0,1,train
neg_1097,0,1,train
neg_1098,0,1,train
neg_1099,0,1,train
neg_11,0,1,train
neg_110,0,1,train
neg_1100,0,1,train
neg_1101,0,1,train
neg_1102,0,1,train
neg_1103,0,1,train
neg_1104,0,1,train
neg_1105,0,1,test
neg_1106,0,1,train
neg_1107,0,1,train
neg_1108,0,1,test
neg_1109,0,1,train
neg_111,0,1,val
neg_1110,0,1,val
neg_1111,0,1,test
neg_1112,0,1,train
neg_1113,0,1,test
neg_1114,0,1,val
neg_1115,0,1,train
neg_1116,0,1,train
neg_1117,0,1,train
neg_1118,0,1,test
neg_1119,0,1,train
neg_112,0,1,train
neg_1120,0,1,train
neg_1121,0,1,train
neg_1122,0,3,train
neg_1123,0,1,train
neg_1124,0,1,train
neg_1125,0,1,train
neg_1126,0,1,train
neg_1127,0,1,train
neg_1128,0,1,test
neg_1129,0,1,test
neg_113,0,1,train
neg_1130,0,1,train
neg_1131,0,1,train
neg_1132,0,1,test
neg_1133,0,1,train
neg_1134,0,1,train
neg_1135,0,1,train
neg_1136,0,1,train
neg_1137,0,1,train
neg_1138,0,1,train
neg_1139,0,1,train
neg_114,0,1,train
neg_1140,0,1,train
neg_1141,0,1,train
neg_1142,0,1,train
neg_1143,0,1,train
neg_1144,0,1,train
neg_1145,0,1,train
neg_1146,0,1,train
neg_1147,0,1,train
neg_1148,0,1,train
neg_1149,0,1,train
neg_115,0,1,train
neg_1150,0,1,train
neg_1151,0,1,train
neg_1152,0,1,train
neg_1153,0,1,train
neg_1154,0,1,val
neg_1155,0,1,train
neg_1156,0,1,train
neg_1157,0,1,train
neg_1158,0,1,val
neg_1159,0,1,train
neg_116,0,1,train
neg_1160,0,1,train
neg_1161,0,1,train
neg_1162,0,1,train
neg_1163,0,1,train
neg_1164,0,1,train
neg_1165,0,1,test
neg_1166,0,1,train
neg_1167,0,1,train
neg_1168,0,1,train
neg_1169,0,1,val
neg_117,0,1,train
neg_1170,0,1,train
neg_1171,0,1,train
neg_1172,0,1,train
neg_1173,0,1,val
neg_1174,0,1,train
neg_1175,0,1,test
neg_1176,0,1,val
neg_1177,0,1,train
neg_1178,0,1,test
neg_1179,0,1,test
neg_118,0,1,train
neg_1180,0,1,train
neg_1181,0,1,val
neg_1182,0,1,train
neg_1183,0,1,train
neg_1184,0,1,test
neg_1185,0,1,train
neg_1186,0,1,train
neg_1187,0,1,val
neg_1188,0,1,train
neg_1189,0,1,train
neg_119,0,1,train
neg_1190,0,1,train
neg_1191,0,1,train
neg_1192,0,1,train
neg_1193,0,1,train
neg_1194,0,1,train
neg_1195,0,1,train
neg_1196,0,1,train
neg_1197,0,1,train
neg_1198,0,1,train
neg_1199,0,1,train
neg_12,0,1,train
neg_120,0,1,train
neg_1200,0,1,train
neg_1201,0,1,train
neg_1202,0,1,train
neg_1203,0,1,val
neg_1204,0,1,train
neg_1205,0,1,train
neg_1206,0,1,train
neg_1207,0,1,val
neg_1208,0,1,train
neg_1209,0,1,train
neg_121,0,1,train
neg_1210,0,1,test
neg_1211,0,1,train
neg_1212,0,1,train
neg_1213,0,1,val
neg_1214,0,1,train
neg_1215,0,1,train
neg_1216,0,1,test
neg_1217,0,1,train
neg_1218,0,1,train
neg_1219,0,1,train
neg_122,0,1,test
neg_1220,0,1,train
neg_1221,0,1,train
neg_1222,0,1,train
neg_1223,0,1,train
